"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10006","JBLBOOMBX4PTOB","Captura de preços","Tue Sep 22 16:05:31 UTC 2026","passed","Tue Sep 22 16:05:41 UTC 2026","","BD","",""
"","7305","EXFE5GBB","Captura de preços","Tue Sep 22 16:05:32 UTC 2026","passed","Tue Sep 22 16:05:39 UTC 2026","","IN","",""
"","18002","WANA34109PTO2","Captura de preços","Tue Sep 22 16:05:40 UTC 2026","passed","Tue Sep 22 16:05:58 UTC 2026","","LA","",""
"","38842","NLD62BRAPO2","Captura de preços","Tue Sep 22 16:05:32 UTC 2026","passed","Tue Sep 22 16:06:10 UTC 2026","","IN","",""
"","9835","L283GM0003BRB","Captura de preços","Tue Sep 22 16:05:31 UTC 2026","passed","Tue Sep 22 16:05:41 UTC 2026","","BD","",""
"","7145","4000000766","Captura de preços","Tue Sep 22 16:05:37 UTC 2026","passed","Tue Sep 22 16:05:44 UTC 2026","","UT","",""
"","16591","WANA34100PTO1","Captura de preços","Tue Sep 22 16:05:40 UTC 2026","passed","Tue Sep 22 16:05:56 UTC 2026","","LA","",""
