"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46734","EXLL14X1","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","14090","JBLPB130PTOB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","27518","COCZD12MT1","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","14362","JBLENDUPEAPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","15574","L2ZAG70943CNZB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","10911","LJLIP23ACRM","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","14480","JBLWBUDS2PTO","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","18113","L2ZAFR0856CNZB","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","15253","PANRBB64PV2X","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","50239","EXEAF45PTO1","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","18546","JBLT530BTAZLB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","13096","3L71465PTO","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","19471","EXFE4DG2","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","53302","EXEBL1500CNZ1","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","20397","L283GM0003BRB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","18447","HR4160880PGF1","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","16561","BRBLF62AP1","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","18228","JBLWBUDS2AZL","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","23951","BRBLF08BSANA1","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","18852","EXIB7S1","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","26408","JBLT530BTBGEB","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","15064","JBLSB595PTOB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","23455","PANAF190G1W1","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","19087","EXMI41S1","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","27899","BRBLF08BSANA2","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","22299","EXIM7S2","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","8813","JBLENDUZONPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","22872","1QMHP27S22","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","13897","WAMG7922PTAB","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","18133","EXESI60AZL1","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","18920","JBLBOOMBX4PTOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","12181","EXLS08E1","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","17499","BRBDK90DRB","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","15166","LO941000119PTO","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","23261","EXLS08E2","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","19356","EXMI41S2","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
