"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21159","WAMG7922PTAB","Captura de preços","Tue Sep 22 17:03:11 UTC 2026","passed","Tue Sep 22 17:03:32 UTC 2026","","LA","",""
"","25587","LO910007601GFT","Captura de preços","Tue Sep 22 17:03:11 UTC 2026","passed","Tue Sep 22 17:03:37 UTC 2026","","LA","",""
"","60894","BRBLF08BSANA1","Captura de preços","Tue Sep 22 17:03:13 UTC 2026","passed","Tue Sep 22 17:04:14 UTC 2026","","IN","",""
"","33283","HH43Q6QVVPTOB","Captura de preços","Tue Sep 22 17:05:35 UTC 2026","passed","Tue Sep 22 17:06:08 UTC 2026","","UT","",""
"","29503","EXBSE40CNZB","Captura de preços","Tue Sep 22 17:09:37 UTC 2026","failed","Tue Sep 22 17:10:06 UTC 2026","","IN","",""
"","35157","EXESM03PTO","Captura de preços","Tue Sep 22 17:09:28 UTC 2026","passed","Tue Sep 22 17:10:03 UTC 2026","","IN","",""
"","47440","BRBDK75DRB","Captura de preços","Tue Sep 22 17:05:18 UTC 2026","passed","Tue Sep 22 17:06:05 UTC 2026","","IN","",""
"","64327","EXMI41S1","Captura de preços","Tue Sep 22 17:07:38 UTC 2026","passed","Tue Sep 22 17:08:42 UTC 2026","","IN","",""
"","52815","HH50Q6QVVPTOB","Captura de preços","Tue Sep 22 17:03:58 UTC 2026","passed","Tue Sep 22 17:04:51 UTC 2026","","UT","",""
"","58105","EXFE5DC1","Captura de preços","Tue Sep 22 17:04:39 UTC 2026","passed","Tue Sep 22 17:05:37 UTC 2026","","IN","",""
"","48156","JBLT530BTBGEB","Captura de preços","Tue Sep 22 17:05:48 UTC 2026","passed","Tue Sep 22 17:06:36 UTC 2026","","BD","",""
"","21888","LO941000119PTO","Captura de preços","Tue Sep 22 17:03:11 UTC 2026","passed","Tue Sep 22 17:03:33 UTC 2026","","LA","",""
"","40542","1QMHP27S22","Captura de preços","Tue Sep 22 17:05:41 UTC 2026","passed","Tue Sep 22 17:06:22 UTC 2026","","UT","",""
"","54490","JBLPB130PTOB","Captura de preços","Tue Sep 22 17:05:27 UTC 2026","passed","Tue Sep 22 17:06:21 UTC 2026","","BD","",""
"","26216","L2ZAFR0856CNZB","Captura de preços","Tue Sep 22 17:04:23 UTC 2026","passed","Tue Sep 22 17:04:49 UTC 2026","","UT","",""
"","43165","JBLTBUDS2BPTO","Captura de preços","Tue Sep 22 17:05:59 UTC 2026","passed","Tue Sep 22 17:06:42 UTC 2026","","BD","",""
"","50898","JBLT530BTBCOB","Captura de preços","Tue Sep 22 17:04:07 UTC 2026","passed","Tue Sep 22 17:04:58 UTC 2026","","BD","",""
"","72575","EXESI60AZL1","Captura de preços","Tue Sep 22 17:06:14 UTC 2026","passed","Tue Sep 22 17:07:27 UTC 2026","","IN","",""
"","51944","JBLT730BTPTOB","Captura de preços","Tue Sep 22 17:03:17 UTC 2026","passed","Tue Sep 22 17:04:09 UTC 2026","","BD","",""
"","51495","JBLT780NCPTOB","Captura de preços","Tue Sep 22 17:04:47 UTC 2026","passed","Tue Sep 22 17:05:39 UTC 2026","","BD","",""
"","33679","HHWD1I1141BT11","Captura de preços","Tue Sep 22 17:05:29 UTC 2026","passed","Tue Sep 22 17:06:03 UTC 2026","","UT","",""
"","52092","EXIB7S1","Captura de preços","Tue Sep 22 17:04:25 UTC 2026","passed","Tue Sep 22 17:05:17 UTC 2026","","IN","",""
"","46309","JBLSB595PTOB","Captura de preços","Tue Sep 22 17:05:12 UTC 2026","passed","Tue Sep 22 17:05:59 UTC 2026","","BD","",""
"","75389","EXEBL1500CNZ1","Captura de preços","Tue Sep 22 17:08:47 UTC 2026","passed","Tue Sep 22 17:10:02 UTC 2026","","IN","",""
"","68076","EXMI41S2","Captura de preços","Tue Sep 22 17:06:05 UTC 2026","passed","Tue Sep 22 17:07:13 UTC 2026","","IN","",""
"","70423","BRBLF62AP1","Captura de preços","Tue Sep 22 17:06:07 UTC 2026","passed","Tue Sep 22 17:07:17 UTC 2026","","IN","",""
"","54462","EXLL10X2","Captura de preços","Tue Sep 22 17:08:42 UTC 2026","passed","Tue Sep 22 17:09:37 UTC 2026","","IN","",""
"","48120","BRBOA84AE2","Captura de preços","Tue Sep 22 17:07:16 UTC 2026","passed","Tue Sep 22 17:08:04 UTC 2026","","IN","",""
"","74330","EXOE8EA2","Captura de preços","Tue Sep 22 17:03:13 UTC 2026","passed","Tue Sep 22 17:04:28 UTC 2026","","IN","",""
"","37189","EXSFP122","Captura de preços","Tue Sep 22 17:05:37 UTC 2026","passed","Tue Sep 22 17:06:14 UTC 2026","","IN","",""
"","66488","BRBWF18ABANA1","Captura de preços","Tue Sep 22 17:08:52 UTC 2026","passed","Tue Sep 22 17:09:59 UTC 2026","","IN","",""
"","39120","JBLOOMBOX4PTOB","Captura de preços","Tue Sep 22 17:03:51 UTC 2026","passed","Tue Sep 22 17:04:31 UTC 2026","","BD","",""
"","19408","HH75Q6QVVPTOB","Captura de preços","Tue Sep 22 17:06:03 UTC 2026","passed","Tue Sep 22 17:06:22 UTC 2026","","UT","",""
"","27166","JBLGO5BCO","Captura de preços","Tue Sep 22 17:06:21 UTC 2026","passed","Tue Sep 22 17:06:48 UTC 2026","","BD","",""
"","47895","BRBDK90DRB","Captura de preços","Tue Sep 22 17:08:04 UTC 2026","passed","Tue Sep 22 17:08:52 UTC 2026","","IN","",""
"","46885","L283GM0003BRB","Captura de preços","Tue Sep 22 17:03:17 UTC 2026","passed","Tue Sep 22 17:04:04 UTC 2026","","BD","",""
"","46182","JBLBOOMBX4LRJB","Captura de preços","Tue Sep 22 17:04:40 UTC 2026","passed","Tue Sep 22 17:05:27 UTC 2026","","BD","",""
"","37798","EXPE12GCNZB","Captura de preços","Tue Sep 22 17:05:04 UTC 2026","passed","Tue Sep 22 17:05:41 UTC 2026","","IN","",""
"","44608","EXLS08E1","Captura de preços","Tue Sep 22 17:09:56 UTC 2026","passed","Tue Sep 22 17:10:41 UTC 2026","","IN","",""
"","32736","LJLIP23ACRM","Captura de preços","Tue Sep 22 17:03:58 UTC 2026","passed","Tue Sep 22 17:04:31 UTC 2026","","UT","",""
"","34260","JBLGRIPPTOB","Captura de preços","Tue Sep 22 17:03:17 UTC 2026","passed","Tue Sep 22 17:03:51 UTC 2026","","BD","",""
"","55898","EXIM7S2","Captura de preços","Tue Sep 22 17:05:41 UTC 2026","passed","Tue Sep 22 17:06:37 UTC 2026","","IN","",""
"","72075","HHWD3S1243BB1","Captura de preços","Tue Sep 22 17:05:34 UTC 2026","passed","Tue Sep 22 17:06:46 UTC 2026","","UT","",""
"","34089","BPCHIPTRIPL4SP","Captura de preços","Tue Sep 22 17:03:58 UTC 2026","passed","Tue Sep 22 17:04:32 UTC 2026","","UT","",""
"","49005","JBLT730BTBCOB","Captura de preços","Tue Sep 22 17:05:36 UTC 2026","passed","Tue Sep 22 17:06:25 UTC 2026","","BD","",""
"","85566","EXLS08E2","Captura de preços","Tue Sep 22 17:03:13 UTC 2026","passed","Tue Sep 22 17:04:39 UTC 2026","","IN","",""
"","29804","OSOBAT640PTO1","Captura de preços","Tue Sep 22 17:05:12 UTC 2026","passed","Tue Sep 22 17:05:41 UTC 2026","","UT","",""
"","18248","BRBFO4XAEUNAB","Captura de preços","Tue Sep 22 17:09:51 UTC 2026","passed","Tue Sep 22 17:10:09 UTC 2026","","IN","",""
"","29081","JBLT530BTPTOB","Captura de preços","Tue Sep 22 17:03:17 UTC 2026","failed","Tue Sep 22 17:03:46 UTC 2026","","BD","",""
"","89252","EXME3BP2","Captura de preços","Tue Sep 22 17:04:14 UTC 2026","passed","Tue Sep 22 17:05:43 UTC 2026","","IN","",""
"","54248","EXOE8EW2","Captura de preços","Tue Sep 22 17:08:57 UTC 2026","passed","Tue Sep 22 17:09:51 UTC 2026","","IN","",""
"","36341","JBLENDUPEAPTOB","Captura de preços","Tue Sep 22 17:04:04 UTC 2026","passed","Tue Sep 22 17:04:40 UTC 2026","","BD","",""
"","49712","JBLBOOMBX4PTOB","Captura de preços","Tue Sep 22 17:03:17 UTC 2026","passed","Tue Sep 22 17:04:07 UTC 2026","","BD","",""
"","61790","EXESI80VRD1","Captura de preços","Tue Sep 22 17:08:55 UTC 2026","passed","Tue Sep 22 17:09:56 UTC 2026","","IN","",""
"","41843","JBLENDUZONPTOB","Captura de preços","Tue Sep 22 17:05:39 UTC 2026","passed","Tue Sep 22 17:06:21 UTC 2026","","BD","",""
"","49716","JBLT730BAZLB","Captura de preços","Tue Sep 22 17:04:58 UTC 2026","passed","Tue Sep 22 17:05:48 UTC 2026","","BD","",""
