"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38607","NLD62BRAPO2","Captura de preços","Tue Sep 22 16:51:16 UTC 2026","passed","Tue Sep 22 16:51:54 UTC 2026","","IN","",""
"","35596","1QMDWTF08S2","Captura de preços","Tue Sep 22 16:51:18 UTC 2026","passed","Tue Sep 22 16:51:54 UTC 2026","","UT","",""
"","8372","L283GM0003BRB","Captura de preços","Tue Sep 22 16:51:21 UTC 2026","passed","Tue Sep 22 16:51:29 UTC 2026","","BD","",""
"","8218","WANA34100PTO1","Captura de preços","Tue Sep 22 16:51:22 UTC 2026","passed","Tue Sep 22 16:51:30 UTC 2026","","LA","",""
