"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","UT","1","0","SGUN32H500PTOB","0"
"0","","0","IN","1","0","UXX1504VANAZLB","0"
"0","","0","AE","1","0","BRBRE57FK1","0"
"0","","0","UT","1","0","PITAT1109PTO","0"
"0","","0","AE","1","0","A6ECHOPOPPTOB","0"
"0","","0","UT","1","0","JBLBOOMBO3PTOB","0"
"0","","0","LA","1","0","FJ705028297","0"
"0","","0","UT","1","0","JBLT520BTPTO","0"
"0","","0","LA","1","0","0SSTARLINKBCOB","0"
"0","","0","AE","1","0","A6B0CP31L7PTOB","0"
"0","","0","IN","1","0","9EE600PTO","0"
"0","","0","AE","1","0","JBLT770NCPTO","0"
"0","","0","BD","1","0","0S2534008BBCOB","0"
"0","","0","IN","1","0","UXX1504VANPTAB","0"
"0","","0","AE","1","0","EXMI41S1","0"
"0","","0","IN","1","0","WAMG372177BPOB","0"
"0","","0","IN","1","0","NLC30BR2PTO1","0"
"0","","0","BD","1","0","I4CH20PDQCBCO","0"
"0","","0","AE","1","0","LJLIP23ACRM","0"
