"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22272","EXPC01XGFT1","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","17710","EXIT70SB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","50148","EXPCC20IX1","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","21485","BRBOA84AE2","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","13211","BRBDK90DRB","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","23281","EXLL10X1","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","21656","EXMI41S2","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","17053","JBLT730BTBCOB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","22957","PANNST55LMR1","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","15975","EXKE5XCB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","14789","EXBSE40CNZB","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","16768","JBLT530BTBCOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","18449","JBLWBUDS2AZL","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","22989","BRBRA08ME1","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","45873","EXEAF45PTO1","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","18186","JBLT730BAZLB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","13901","JBLENDUPEAPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","25805","PANAF190G1W1","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","18170","JBLBOOMBX4LRJB","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","26800","BRBLF08BSANA2","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","18308","EXESI80VRD1","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","12195","JBLLIVE780BCOB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","14606","JBLWBUDS2PTO","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","19510","JBLPB130PTOB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","14557","EXESM03PTO","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","17629","JBLGO5BCO","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","27030","EXLS08E2","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","21788","JBLT530BTPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","26748","1QMHP27S11","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","24191","COCPC31AFONAB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","52758","HHWD3S1243BB1","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","19609","JBLT780NCBCOB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","19308","JBLBOOMBX4PTOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","18476","HH50Q6QVVPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","12844","LO910007601GFT","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","30050","COCZD12MT1","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","14636","BRBLF62AP1","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","12523","JBLOOMBOX4PTOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","28053","L283GM0003BRB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","18466","LO941000119PTO","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","15549","JBLSB180BRPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","11015","I4CH35PDWTBCOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","18160","L2ZAFR0856CNZB","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","25368","EXIM7S1","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","14008","L2ZAG70943CNZB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","17824","HR4160880PGF1","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","16586","HH75Q6QVVPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","19763","EXOE8EA2","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","17398","JBJBLPBCLUPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","23196","OSOBAT641PTO1","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","23890","1QMHP27S22","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","10966","EXLS08E1","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","16772","JBLGRIPPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","25041","EXFE5DC1","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","22400","JBLT530BTBGEB","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","49581","EXEBL1500CNZ1","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","22372","EXIM7S2","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","24045","EXMI41S1","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","12364","BRBFO4XAEUNAB","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","17651","BRBMO40AR2","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","20604","HW14262RSAB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","22580","EXESI60AZL1","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","20490","JBLTBUDS2BPTO","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","22752","BRBLF08BSANA1","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","19176","BRBWF18ABANA1","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","15482","JBLBOOMBX4BCOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","22914","EXIB7S1","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","25919","JBLT730BTPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","23912","EXFE4DG2","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","20824","BRBO260ARBNA","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","22142","EXLEE181","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","26039","BRBWJ14A9BNA2","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","10902","LJLIP23ACRM","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","21150","EXLL10X2","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","18720","TK55C6KPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","13628","EXOE8EW2","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","20581","EXSFP122","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","13505","9EE600PTO","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","16209","WAMG7922PTAB","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","17116","TK65C6KPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","14911","LOG305LIGHPTO","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","19671","EXME3BP1","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","19130","PANRBB64PV2X","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","14778","JBLSB595PTOB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","15913","EXFE5GBB","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","14926","HH43Q6QVVPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","44851","EXLL14X1","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","49131","EXECM30ACO1","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","8795","L283NU0006CNZB","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","20578","BRBDK75DRB","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","8667","3L71465PTO","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","27064","HHWD1I1141BT11","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","19013","OSOBAT640PTO1","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","16614","EXPE12GCNZB","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","20263","BPCHIPTRIPL4SP","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","23510","HHAP12CWBRBCO1","Captura de preços","2026-09-11","passed","2026-09-11","","UT","",""
"","20428","JBLT530BTAZLB","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
"","13039","JBLENDUZONPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","LA","",""
"","19132","JBLT780NCPTOB","Captura de preços","2026-09-11","passed","2026-09-11","","IN","",""
"","10503","EXME3BP2","Captura de preços","2026-09-11","passed","2026-09-11","","BD","",""
