"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36367","1QMDWTF08S2","Captura de preços","Tue Sep 22 15:54:58 UTC 2026","passed","Tue Sep 22 15:55:35 UTC 2026","","UT","",""
"","8221","L283GM0003BRB","Captura de preços","Tue Sep 22 15:54:54 UTC 2026","passed","Tue Sep 22 15:55:02 UTC 2026","","BD","",""
"","10540","WANA34100PTO1","Captura de preços","Tue Sep 22 15:54:54 UTC 2026","passed","Tue Sep 22 15:55:05 UTC 2026","","LA","",""
"","36279","NLD62BRAPO2","Captura de preços","Tue Sep 22 15:55:17 UTC 2026","passed","Tue Sep 22 15:55:53 UTC 2026","","IN","",""
