"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5815","L283GM0003BRB","Captura de preços","Tue Sep 22 16:57:00 UTC 2026","passed","Tue Sep 22 16:57:05 UTC 2026","","BD","",""
"","38938","NLD62BRAPO2","Captura de preços","Tue Sep 22 16:56:50 UTC 2026","passed","Tue Sep 22 16:57:29 UTC 2026","","IN","",""
"","36624","1QMDWTF08S2","Captura de preços","Tue Sep 22 16:57:15 UTC 2026","passed","Tue Sep 22 16:57:52 UTC 2026","","UT","",""
"","11980","WANA34100PTO1","Captura de preços","Tue Sep 22 16:56:56 UTC 2026","passed","Tue Sep 22 16:57:08 UTC 2026","","LA","",""
