"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","49609","JBLBOOMBX4PTOB","Captura de preços","Tue Sep 22 17:21:32 UTC 2026","passed","Tue Sep 22 17:22:21 UTC 2026","","BD","",""
"","63189","PANNST55LMR1","Captura de preços","Tue Sep 22 17:22:07 UTC 2026","passed","Tue Sep 22 17:23:11 UTC 2026","","UT","",""
"","29979","JBLGO5BCO","Captura de preços","Tue Sep 22 17:24:31 UTC 2026","passed","Tue Sep 22 17:25:01 UTC 2026","","BD","",""
"","45492","BRBMO40AR2","Captura de preços","Tue Sep 22 17:24:09 UTC 2026","passed","Tue Sep 22 17:24:55 UTC 2026","","IN","",""
"","41563","9EE600PTO","Captura de preços","Tue Sep 22 17:22:07 UTC 2026","passed","Tue Sep 22 17:22:49 UTC 2026","","UT","",""
"","99977","EXIB7S1","Captura de preços","Tue Sep 22 17:22:36 UTC 2026","passed","Tue Sep 22 17:24:16 UTC 2026","","IN","",""
"","42473","JBLBOOMBX4BCOB","Captura de preços","Tue Sep 22 17:22:55 UTC 2026","passed","Tue Sep 22 17:23:37 UTC 2026","","BD","",""
"","57175","EXIM7S2","Captura de preços","Tue Sep 22 17:23:47 UTC 2026","passed","Tue Sep 22 17:24:44 UTC 2026","","IN","",""
"","39213","TK55C6KPTOB","Captura de preços","Tue Sep 22 17:22:15 UTC 2026","passed","Tue Sep 22 17:22:55 UTC 2026","","BD","",""
"","50160","L283GM0003BRB","Captura de preços","Tue Sep 22 17:21:31 UTC 2026","passed","Tue Sep 22 17:22:22 UTC 2026","","BD","",""
"","51599","EXLS08E1","Captura de preços","Tue Sep 22 17:28:10 UTC 2026","passed","Tue Sep 22 17:29:01 UTC 2026","","IN","",""
"","61373","EXLL10X1","Captura de preços","Tue Sep 22 17:22:54 UTC 2026","passed","Tue Sep 22 17:23:56 UTC 2026","","IN","",""
"","43216","EXKE5XCB","Captura de preços","Tue Sep 22 17:25:12 UTC 2026","passed","Tue Sep 22 17:25:55 UTC 2026","","IN","",""
"","49683","EXECM30ACO1","Captura de preços","Tue Sep 22 17:23:56 UTC 2026","passed","Tue Sep 22 17:24:45 UTC 2026","","IN","",""
"","52214","JBLT530BTAZLB","Captura de preços","Tue Sep 22 17:21:32 UTC 2026","passed","Tue Sep 22 17:22:24 UTC 2026","","BD","",""
"","64905","BRBRA08ME1","Captura de preços","Tue Sep 22 17:25:44 UTC 2026","passed","Tue Sep 22 17:26:49 UTC 2026","","IN","",""
"","18410","LO910007601GFT","Captura de preços","Tue Sep 22 17:21:47 UTC 2026","passed","Tue Sep 22 17:22:06 UTC 2026","","LA","",""
"","5023","JBLLIVE780BCOB","Captura de preços","Tue Sep 22 17:21:42 UTC 2026","passed","Tue Sep 22 17:21:47 UTC 2026","","AE","",""
"","59093","EXFE4DG2","Captura de preços","Tue Sep 22 17:24:45 UTC 2026","passed","Tue Sep 22 17:25:44 UTC 2026","","IN","",""
"","39896","JBLWBUDS2PTO","Captura de preços","Tue Sep 22 17:23:07 UTC 2026","passed","Tue Sep 22 17:23:47 UTC 2026","","BD","",""
"","31985","EXESM03PTO","Captura de preços","Tue Sep 22 17:27:54 UTC 2026","passed","Tue Sep 22 17:28:26 UTC 2026","","IN","",""
"","28006","EXBSE40CNZB","Captura de preços","Tue Sep 22 17:27:59 UTC 2026","passed","Tue Sep 22 17:28:27 UTC 2026","","IN","",""
"","62864","PANAF190G1W1","Captura de preços","Tue Sep 22 17:22:15 UTC 2026","passed","Tue Sep 22 17:23:18 UTC 2026","","UT","",""
"","40150","LJLIP23ACRM","Captura de preços","Tue Sep 22 17:21:27 UTC 2026","passed","Tue Sep 22 17:22:07 UTC 2026","","UT","",""
"","43051","BRBDK90DRB","Captura de preços","Tue Sep 22 17:26:28 UTC 2026","passed","Tue Sep 22 17:27:11 UTC 2026","","IN","",""
"","88666","HHWD3S1243BB1","Captura de preços","Tue Sep 22 17:23:24 UTC 2026","passed","Tue Sep 22 17:24:53 UTC 2026","","UT","",""
"","62493","EXPC01XGFT1","Captura de preços","Tue Sep 22 17:24:55 UTC 2026","passed","Tue Sep 22 17:25:57 UTC 2026","","IN","",""
"","46816","JBLT530BTBCOB","Captura de preços","Tue Sep 22 17:22:23 UTC 2026","passed","Tue Sep 22 17:23:09 UTC 2026","","BD","",""
"","37062","HR4160880PGF1","Captura de preços","Tue Sep 22 17:23:50 UTC 2026","passed","Tue Sep 22 17:24:27 UTC 2026","","UT","",""
"","64708","EXEAF45PTO1","Captura de preços","Tue Sep 22 17:25:57 UTC 2026","passed","Tue Sep 22 17:27:02 UTC 2026","","IN","",""
"","31590","L283NU0006CNZB","Captura de preços","Tue Sep 22 17:24:25 UTC 2026","passed","Tue Sep 22 17:24:56 UTC 2026","","BD","",""
"","39324","COCPC31AFONAB","Captura de preços","Tue Sep 22 17:23:11 UTC 2026","passed","Tue Sep 22 17:23:50 UTC 2026","","UT","",""
"","40109","BPCHIPTRIPL4SP","Captura de preços","Tue Sep 22 17:21:27 UTC 2026","passed","Tue Sep 22 17:22:07 UTC 2026","","UT","",""
"","38110","1QMHP27S22","Captura de preços","Tue Sep 22 17:24:04 UTC 2026","passed","Tue Sep 22 17:24:42 UTC 2026","","UT","",""
"","45877","JBLT780NCBCOB","Captura de preços","Tue Sep 22 17:23:06 UTC 2026","passed","Tue Sep 22 17:23:52 UTC 2026","","BD","",""
"","34569","3L71465PTO","Captura de preços","Tue Sep 22 17:23:55 UTC 2026","passed","Tue Sep 22 17:24:30 UTC 2026","","UT","",""
"","64933","BRBLF08BSANA2","Captura de preços","Tue Sep 22 17:21:36 UTC 2026","passed","Tue Sep 22 17:22:41 UTC 2026","","IN","",""
"","38992","L2ZAFR0856CNZB","Captura de preços","Tue Sep 22 17:22:04 UTC 2026","passed","Tue Sep 22 17:22:43 UTC 2026","","UT","",""
"","53653","EXOE8EW2","Captura de preços","Tue Sep 22 17:27:16 UTC 2026","passed","Tue Sep 22 17:28:09 UTC 2026","","IN","",""
"","43853","HW14262RSAB","Captura de preços","Tue Sep 22 17:22:49 UTC 2026","passed","Tue Sep 22 17:23:33 UTC 2026","","UT","",""
"","67181","BRBLF62AP1","Captura de preços","Tue Sep 22 17:24:28 UTC 2026","passed","Tue Sep 22 17:25:35 UTC 2026","","IN","",""
"","38282","JBLENDUPEAPTOB","Captura de preços","Tue Sep 22 17:22:22 UTC 2026","passed","Tue Sep 22 17:23:00 UTC 2026","","BD","",""
"","33447","EXPE12GCNZB","Captura de preços","Tue Sep 22 17:23:08 UTC 2026","passed","Tue Sep 22 17:23:41 UTC 2026","","IN","",""
"","52773","OSOBAT640PTO1","Captura de preços","Tue Sep 22 17:23:18 UTC 2026","passed","Tue Sep 22 17:24:10 UTC 2026","","UT","",""
"","29032","JBLWBUDS2AZL","Captura de preços","Tue Sep 22 17:24:33 UTC 2026","passed","Tue Sep 22 17:25:02 UTC 2026","","BD","",""
"","57200","EXESI80VRD1","Captura de preços","Tue Sep 22 17:27:11 UTC 2026","passed","Tue Sep 22 17:28:08 UTC 2026","","IN","",""
"","51969","JBLPB130PTOB","Captura de preços","Tue Sep 22 17:23:41 UTC 2026","passed","Tue Sep 22 17:24:33 UTC 2026","","BD","",""
"","21860","BRBFO4XAEUNAB","Captura de preços","Tue Sep 22 17:28:08 UTC 2026","passed","Tue Sep 22 17:28:30 UTC 2026","","IN","",""
"","39235","JBLOOMBOX4PTOB","Captura de preços","Tue Sep 22 17:22:21 UTC 2026","passed","Tue Sep 22 17:23:00 UTC 2026","","BD","",""
"","17743","LO941000119PTO","Captura de preços","Tue Sep 22 17:21:47 UTC 2026","passed","Tue Sep 22 17:22:05 UTC 2026","","LA","",""
"","47490","JBLSB180BRPTOB","Captura de preços","Tue Sep 22 17:23:52 UTC 2026","passed","Tue Sep 22 17:24:39 UTC 2026","","BD","",""
"","43062","TK65C6KPTOB","Captura de preços","Tue Sep 22 17:22:24 UTC 2026","passed","Tue Sep 22 17:23:07 UTC 2026","","BD","",""
"","27511","HH75Q6QVVPTOB","Captura de preços","Tue Sep 22 17:24:10 UTC 2026","passed","Tue Sep 22 17:24:38 UTC 2026","","UT","",""
"","40435","L2ZAG70943CNZB","Captura de preços","Tue Sep 22 17:21:27 UTC 2026","passed","Tue Sep 22 17:22:07 UTC 2026","","UT","",""
